X,year,site,nest,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex,mol_sex_focal,mol_sex_mate,first.res.bs,last.res.bs,population,captured_focalyear_focal,captured_focalyear_mate,comments_field,comments_stdfile,northing,easting,estimated.hd
358,2009,A,2,U,U,424,NA,NA,CA1425,NA,NA,NA,NA,NA,NA,NA,NA,M,F,BX.MX|LX.RX,2009-A-2,2007,2007,2009-BX.MX|LX.RX,06/01/2009,19/09/2009,12/05/2009,12/05/2009,12/05/2009,12/05/2009,424,429,514,ABAN,23.9094405,-106.96,0,3,24/04/2009,29/04/2009,14/05/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/04/2009,NA,06/01/2009,19/09/2009,M,M,NA,08/03/2009,06/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
359,2009,A,3,ParCare,CFall,422,517,515,CA048,CA1526,CA2045,CA2048,CA2202,NA,NA,NA,NA,M,F,RX.MX|OX.YX,2009-A-3,2006,2006,2009-RX.MX|OX.YX,01/06/2009,09/07/2009,15/05/2009,15/05/2009,15/05/2009,15/05/2009,422,429,517,HATCH,23.90811497,-106.95,1,3,22/04/2009,29/04/2009,17/05/2009,17/05/2009,518,623,NA,0,27,NA,NA,518,623,623,NA,18/05/2009,23/06/2009,NA,NA,NA,18/05/2009,23/06/2009,23/06/2009,NA,17/05/2009,NA,17.3,6.3,18/05/2009,NA,17.6,6.6,18/05/2009,NA,17.3,5.9,17.6,18/05/2009,-0.022653722,18/05/2009,23/04/2009,22/04/2009,1.022653722,15/05/2009,09/07/2009,M,M,F,01/06/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
360,2009,A,4,ParCare,CFall,501,526,525,CA1312,CA2041,CA2304,NA,NA,NA,NA,NA,NA,M,F,LX.MX|RX.OX,2009-A-4,2007,2007,2009-LX.MX|RX.OX,08/03/2009,23/12/2009,17/05/2009,17/05/2009,17/05/2009,17/05/2009,501,501,526,HATCH,23.90250924,-106.95,3,3,01/05/2009,01/05/2009,26/05/2009,26/05/2009,527,705,NA,0,19,NA,NA,527,705,705,NA,27/05/2009,05/07/2009,NA,NA,NA,27/05/2009,05/07/2009,05/07/2009,NA,27/05/2009,NA,17.7,6.3,NA,NA,NA,NA,NA,NA,NA,NA,17.7,27/05/2009,0.300970874,27/05/2009,01/05/2009,01/05/2009,0.699029126,08/03/2009,23/12/2009,M,M,F,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
361,2009,A,5,ParCare,CFall,502,527,527,CA107,CA2036,CA2305,CA2215,NA,NA,NA,NA,NA,M,F,YX.MX|OX.WX,2009-A-5,2006,2006,2009-YX.MX|OX.WX,17/05/2009,19/09/2009,17/05/2009,17/05/2009,17/05/2009,17/05/2009,502,507,527,HATCH,23.90306109,-106.95,2,3,02/05/2009,07/05/2009,27/05/2009,27/05/2009,527,705,NA,0,26,NA,NA,527,705,705,NA,27/05/2009,05/07/2009,NA,NA,NA,27/05/2009,05/07/2009,05/07/2009,NA,27/05/2009,NA,17.8,6,27/05/2009,NA,17.8,6.2,NA,NA,NA,NA,17.8,27/05/2009,0.624595469,27/05/2009,01/05/2009,02/05/2009,-0.624595469,17/05/2009,19/09/2009,M,M,F,17/05/2009,15/06/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
362,2009,A,6,ParCare,CFall,502,527,525,CA2040,CA136,CA2301,CA2302,CA2303,NA,NA,NA,NA,M,F,WX.BX|YX.WM,2009-A-6,2007,2007,2009-WX.BX|YX.WM,02/05/2009,01/06/2009,15/05/2009,15/05/2009,15/05/2009,15/05/2009,502,507,527,HATCH,23.90720771,-106.95,1,3,02/05/2009,07/05/2009,27/05/2009,27/05/2009,528,709,NA,2,31,NA,NA,526,709,709,NA,28/05/2009,09/07/2009,NA,NA,NA,26/05/2009,09/07/2009,09/07/2009,NA,26/05/2009,NA,18.1,6.6,26/05/2009,NA,17.9,6.7,26/05/2009,NA,17.8,6.6,18.1,26/05/2009,1.595469256,26/05/2009,29/04/2009,02/05/2009,-2.595469256,02/05/2009,09/07/2009,M,M,F,02/05/2009,01/06/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
363,2009,A,7,ParCare,CFall,503,528,527,CA1248,CA1278,CA2214,NA,NA,NA,NA,NA,NA,M,F,MX.YX|BX.LX,2009-A-7,2009,2007,2009-MX.YX|BX.LX,17/05/2009,09/07/2009,15/05/2009,15/05/2009,15/05/2009,15/05/2009,503,507,528,HATCH,23.90777535,-106.95,1,2,03/05/2009,07/05/2009,28/05/2009,28/05/2009,527,701,NA,1,28,NA,NA,527,701,701,NA,27/05/2009,01/07/2009,NA,NA,NA,27/05/2009,01/07/2009,01/07/2009,NA,27/05/2009,NA,17.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,17.7,27/05/2009,0.300970874,27/05/2009,01/05/2009,03/05/2009,-1.300970874,15/05/2009,09/07/2009,M,M,F,17/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
364,2009,A,8,ParCare,CFall,510,604,530,CA093,CA1254,CA2217,NA,NA,NA,NA,NA,NA,M,F,WX.MX|YX.GX,2009-A-8,2006,2006,2009-WX.MX|YX.GX,08/03/2009,01/07/2009,16/05/2009,03/07/2009,16/05/2009,03/07/2009,510,507,604,HATCH,23.90830071,-106.96,2,3,10/05/2009,07/05/2009,04/06/2009,04/06/2009,602,606,NA,2,5,602,604,602,606,605,606,02/06/2009,06/06/2009,NA,02/06/2009,04/06/2009,02/06/2009,06/06/2009,05/06/2009,06/06/2009,02/06/2009,NA,18,6.5,NA,NA,NA,NA,NA,NA,NA,NA,18,02/06/2009,1.27184466,02/06/2009,06/05/2009,10/05/2009,-3.27184466,08/03/2009,03/07/2009,M,M,F,08/03/2009,01/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
366,2009,A,101,ParCare,CFall,510,604,603,CA1204,CA2037,CA2225,CA2075,CA2076,NA,NA,NA,NA,M,F,MX.RX|GX.WX,2009-A-101,2008,2007,2009-MX.RX|GX.WX,01/05/2009,09/07/2009,19/05/2009,19/05/2009,19/05/2009,19/05/2009,510,513,604,HATCH,23.90271245,-106.95,3,3,10/05/2009,13/05/2009,04/06/2009,04/06/2009,606,704,NA,1,7,NA,NA,606,704,611,619,06/06/2009,04/07/2009,NA,NA,NA,06/06/2009,04/07/2009,11/06/2009,19/06/2009,05/06/2009,NA,17.6,7.2,06/06/2009,NA,17.9,6.1,06/06/2009,NA,17.7,6.2,17.9,06/06/2009,0.948220065,06/06/2009,11/05/2009,10/05/2009,1.051779935,01/05/2009,09/07/2009,M,M,F,01/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
367,2009,A,102,U,U,608,NA,NA,CA1452,CA2041,NA,NA,NA,NA,NA,NA,NA,M,F,MX.OX|RX.OX,2009-A-102,2008,2007,2009-MX.OX|RX.OX,06/01/2009,01/07/2009,04/06/2009,15/06/2009,04/06/2009,15/06/2009,608,604,607,PRED,23.91028226,-106.96,0,1,08/06/2009,04/06/2009,07/06/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/06/2009,NA,06/01/2009,01/07/2009,M,M,F,20/05/2009,01/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
369,2009,A,201,U,U,422,517,NA,CA1230,CA081,CA2046,CA2047,CA2203,NA,NA,NA,NA,M,F,BX.MX|LX.BX,2009-A-201,2007,2007,2009-BX.MX|LX.BX,08/03/2009,29/06/2009,15/05/2009,15/05/2009,15/05/2009,15/05/2009,422,513,517,HATCH,23.90264877,-106.95,3,3,22/04/2009,13/05/2009,17/05/2009,17/05/2009,518,626,NA,0,33,NA,NA,518,626,626,NA,18/05/2009,26/06/2009,NA,NA,NA,18/05/2009,26/06/2009,26/06/2009,NA,17/05/2009,NA,17.2,5.9,17/05/2009,NA,17.4,6.2,18/05/2009,NA,17.4,6.2,17.4,17/05/2009,-0.669902913,17/05/2009,22/04/2009,22/04/2009,0.669902913,08/03/2009,29/06/2009,M,M,F,08/03/2009,29/06/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
371,2009,A,203,ParCare,CFall,527,621,621,CA2086,CA1273,NA,NA,NA,NA,NA,NA,NA,M,F,GX.MX|OX.LX,2009-A-203,2009,2009,2009-GX.MX|OX.LX,NA,NA,16/06/2009,16/06/2009,16/06/2009,16/06/2009,527,525,621,HATCH,23.90279746,-106.95,3,3,27/05/2009,25/05/2009,21/06/2009,21/06/2009,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/05/2009,NA,16/06/2009,16/06/2009,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
372,2009,A,204,U,U,525,NA,NA,CA013,CA2085,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|LX.LX,2009-A-204,2006,2006,2009-RX.MX|LX.LX,06/01/2009,06/05/2009,17/06/2009,17/06/2009,17/06/2009,17/06/2009,525,530,621,FLOOD,23.90885079,-106.95,0,3,25/05/2009,30/05/2009,21/06/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/05/2009,NA,06/01/2009,17/06/2009,M,M,F,08/03/2009,06/05/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
373,2009,A,205,U,U,609,NA,NA,CA1314,CA2236,NA,NA,NA,NA,NA,NA,NA,M,F,LX.MX|YX.OX,2009-A-205,2007,2007,2009-LX.MX|YX.OX,11/03/2009,05/07/2009,16/06/2009,16/06/2009,16/06/2009,16/06/2009,609,614,624,FLOOD,23.90563721,-106.95,0,3,09/06/2009,14/06/2009,24/06/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/06/2009,NA,11/03/2009,05/07/2009,M,M,F,11/03/2009,05/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
374,2009,A,206,ParCare,CFall,612,707,705,CA1452,CA2041,CA2284,CA2285,CA2286,NA,NA,NA,NA,M,F,MX.OX|RX.OX,2009-A-206,2008,2007,2009-MX.OX|RX.OX,06/01/2009,01/07/2009,04/06/2009,15/06/2009,04/06/2009,15/06/2009,612,615,707,HATCH,23.91022254,-106.96,2+,3,12/06/2009,15/06/2009,07/07/2009,07/07/2009,706,726,NA,0,6,NA,NA,706,726,726,NA,06/07/2009,26/07/2009,NA,NA,NA,06/07/2009,26/07/2009,26/07/2009,NA,06/07/2009,NA,17.8,5.9,06/07/2009,NA,17.8,5.9,06/07/2009,NA,17.5,6,17.8,06/07/2009,0.624595469,06/07/2009,10/06/2009,12/06/2009,-1.624595469,06/01/2009,26/07/2009,M,M,F,20/05/2009,01/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
375,2009,A,207,U,U,617,NA,NA,CA093,CA1254,NA,NA,NA,NA,NA,NA,NA,M,F,WX.MX|YX.GX,2009-A-207,2006,2006,2009-WX.MX|YX.GX,08/03/2009,01/07/2009,16/05/2009,03/07/2009,16/05/2009,03/07/2009,617,625,712,UNKNOWN,23.90633226,-106.95,NA,3,17/06/2009,25/06/2009,12/07/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/06/2009,NA,08/03/2009,03/07/2009,M,M,F,08/03/2009,01/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
376,2009,B,1,U,U,423,518,NA,CA168,CA1253,CA2049,NA,NA,NA,NA,NA,NA,M,F,OX.MX|LX.GX,2009-B-1,2006,2006,2009-OX.MX|LX.GX,06/01/2009,26/05/2009,08/05/2009,15/06/2009,08/05/2009,15/06/2009,423,427,518,HATCH,23.91162373,-106.96,1,2,23/04/2009,27/04/2009,18/05/2009,18/05/2009,518,524,NA,0,8,NA,NA,518,524,523,524,18/05/2009,24/05/2009,NA,NA,NA,18/05/2009,24/05/2009,23/05/2009,24/05/2009,18/05/2009,NA,17.4,6.2,NA,NA,NA,NA,NA,NA,NA,NA,17.4,18/05/2009,-0.669902913,18/05/2009,23/04/2009,23/04/2009,0.669902913,06/01/2009,15/06/2009,M,M,F,17/05/2009,26/05/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
377,2009,B,2,ParCare,CFall,419,514,513,CA078,CA1429,NA,NA,NA,NA,NA,NA,NA,M,F,WX.MX|OX.YX,2009-B-2,2006,2006,2009-WX.MX|OX.YX,21/02/2009,09/07/2009,11/05/2009,10/06/2009,11/05/2009,10/06/2009,419,430,514,HATCH,23.91093102,-106.96,2,2,19/04/2009,30/04/2009,14/05/2009,14/05/2009,527,527,NA,0,1,NA,NA,527,527,NA,527,27/05/2009,27/05/2009,NA,NA,NA,27/05/2009,27/05/2009,NA,27/05/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/04/2009,NA,21/02/2009,09/07/2009,M,M,F,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
378,2009,B,3,U,U,430,NA,NA,CA1270,NA,NA,NA,NA,NA,NA,NA,NA,M,F,LX.MX|YX.RX,2009-B-3,2007,2007,2009-LX.MX|YX.RX,21/02/2009,09/07/2009,17/05/2009,04/06/2009,17/05/2009,04/06/2009,430,502,518,FLOOD,23.91294179,-106.96,0,3,30/04/2009,02/05/2009,18/05/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30/04/2009,NA,21/02/2009,09/07/2009,M,M,NA,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
380,2009,B,5,ParCare,CFall,514,608,606,CA230,CA2050,CA2228,CA2229,NA,NA,NA,NA,NA,M,F,WX.MX|RX.BX,2009-B-5,2006,2006,2009-WX.MX|RX.BX,15/05/2009,09/07/2009,17/05/2009,17/05/2009,17/05/2009,17/05/2009,514,513,608,HATCH,23.91429047,-106.96,2,3,14/05/2009,13/05/2009,08/06/2009,08/06/2009,610,619,NA,0,11,NA,NA,610,619,618,619,10/06/2009,19/06/2009,NA,NA,NA,10/06/2009,19/06/2009,18/06/2009,19/06/2009,10/06/2009,NA,17.7,6.7,10/06/2009,NA,17.3,6.5,NA,NA,NA,NA,17.7,10/06/2009,0.300970874,10/06/2009,15/05/2009,14/05/2009,1.699029126,15/05/2009,09/07/2009,M,M,F,15/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
381,2009,B,6,U,U,615,710,NA,CA2098,CA2097,CA2260,CA2261,CA2262,NA,NA,NA,NA,M,F,GX.MX|LX.YX,2009-B-6,2009,2009,2009-GX.MX|LX.YX,09/07/2009,09/07/2009,23/06/2009,23/06/2009,23/06/2009,23/06/2009,615,621,710,HATCH,23.91182985,-106.96,3,3,15/06/2009,21/06/2009,10/07/2009,10/07/2009,712,726,NA,0,2,NA,NA,712,726,726,NA,12/07/2009,26/07/2009,NA,NA,NA,12/07/2009,26/07/2009,26/07/2009,NA,10/07/2009,NA,17.8,6.3,11/07/2009,NA,17.6,6.2,12/07/2009,NA,17.2,6.2,17.8,10/07/2009,0.624595469,10/07/2009,14/06/2009,15/06/2009,-0.624595469,23/06/2009,26/07/2009,M,M,F,09/07/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
382,2009,B,101,ParCare,CFall,520,614,612,CA2209,CA2216,CA2095,CA2096,NA,NA,NA,NA,NA,M,F,BX.RX|RX.MX,2009-B-101,2009,2009,2009-BX.RX|RX.MX,25/05/2009,15/06/2009,23/05/2009,23/05/2009,23/05/2009,23/05/2009,520,516,614,HATCH,23.91227506,-106.96,1,3,20/05/2009,16/05/2009,14/06/2009,14/06/2009,621,623,NA,0,3,NA,NA,620,623,623,NA,21/06/2009,23/06/2009,NA,NA,NA,20/06/2009,23/06/2009,23/06/2009,NA,20/06/2009,NA,17.5,5.9,20/06/2009,NA,17.5,6,NA,NA,NA,NA,17.5,20/06/2009,-0.346278317,20/06/2009,26/05/2009,20/05/2009,6.346278317,23/05/2009,23/06/2009,M,M,F,25/05/2009,15/06/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
383,2009,B,102,ParCare,CFall,604,629,629,CA168,CA1526,CA2278,CA2279,CA2282,NA,NA,NA,NA,M,F,OX.MX|LX.GX,2009-B-102,2006,2006,2009-OX.MX|LX.GX,06/01/2009,26/05/2009,08/05/2009,15/06/2009,08/05/2009,15/06/2009,604,612,629,HATCH,23.91252605,-106.96,1+,3,04/06/2009,12/06/2009,29/06/2009,29/06/2009,629,709,NA,0,11,NA,NA,629,712,712,NA,29/06/2009,09/07/2009,NA,NA,NA,29/06/2009,12/07/2009,12/07/2009,NA,29/06/2009,NA,18,6.3,29/06/2009,NA,17.8,6.6,30/06/2009,NA,18,6.6,18,29/06/2009,1.27184466,29/06/2009,02/06/2009,04/06/2009,-1.27184466,06/01/2009,12/07/2009,M,M,F,17/05/2009,26/05/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
384,2009,C,-101,U,U,421,516,NA,CA052,CA044,CA2204,CA2205,CA2206,NA,NA,NA,NA,M,F,WX.MX|LX.OX,2009-C--101,2006,2006,2009-WX.MX|LX.OX,17/05/2009,23/12/2009,19/05/2009,19/05/2009,19/05/2009,19/05/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/05/2009,519,623,NA,0,28,NA,NA,519,623,619,623,19/05/2009,23/06/2009,NA,NA,NA,19/05/2009,23/06/2009,19/06/2009,23/06/2009,19/05/2009,NA,18.8,5.9,19/05/2009,NA,18.8,5.9,19/05/2009,NA,18.7,5.6,18.8,19/05/2009,3.860841424,19/05/2009,20/04/2009,20/04/2009,NA,17/05/2009,23/12/2009,M,M,F,17/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
386,2009,C,2,U,U,426,NA,NA,CA1418,CA1570,NA,NA,NA,NA,NA,NA,NA,M,F,MX.YX|OX.OX,2009-C-2,2008,2007,2009-MX.YX|OX.OX,06/01/2009,19/09/2009,11/05/2009,15/06/2009,11/05/2009,15/06/2009,426,427,525,UNHATCH,23.91301401,-106.96,0,3,26/04/2009,27/04/2009,25/05/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/04/2009,NA,06/01/2009,19/09/2009,M,M,F,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
387,2009,C,3,U,U,418,513,NA,CA1464,CA1579,CA2033,CA2034,CA2035,NA,NA,NA,NA,M,F,BX.MX|RX.RX,2009-C-3,2007,2007,2009-BX.MX|RX.RX,30/04/2009,09/07/2009,08/05/2009,08/05/2009,08/05/2009,08/05/2009,418,429,513,HATCH,23.91686544,-106.96,3,3,18/04/2009,29/04/2009,13/05/2009,13/05/2009,513,609,612,1,19,NA,NA,513,612,612,NA,13/05/2009,09/06/2009,12/06/2009,NA,NA,13/05/2009,12/06/2009,12/06/2009,NA,13/05/2009,NA,17.7,6.4,13/05/2009,NA,17.8,6.4,13/05/2009,NA,18.1,6.4,18.1,13/05/2009,1.595469256,13/05/2009,16/04/2009,18/04/2009,-1.595469256,30/04/2009,09/07/2009,M,M,F,30/04/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
388,2009,C,4,ParCare,CFall,511,605,603,CA1484,CA2207,CA2070,CA2071,CA2072,NA,NA,NA,NA,M,F,MX.YX|YX.YX,2009-C-4,2008,2007,2009-MX.YX|YX.YX,05/05/2009,19/09/2009,23/05/2009,23/05/2009,23/05/2009,23/05/2009,511,508,605,HATCH,23.91462858,-106.96,3,3,11/05/2009,08/05/2009,05/06/2009,05/06/2009,604,608,NA,0,4,NA,NA,604,608,607,607,04/06/2009,08/06/2009,NA,NA,NA,04/06/2009,08/06/2009,07/06/2009,07/06/2009,04/06/2009,NA,17.1,6.3,04/06/2009,NA,17.2,6.1,04/06/2009,NA,17.4,6,17.4,04/06/2009,-0.669902913,04/06/2009,10/05/2009,11/05/2009,-0.330097087,05/05/2009,19/09/2009,M,M,F,05/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
389,2009,C,5,U,U,512,NA,NA,CA029,CA1280,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|OX.OX,2009-C-5,2006,2006,2009-RX.MX|OX.OX,02/05/2009,09/07/2009,23/05/2009,03/07/2009,23/05/2009,03/07/2009,512,517,614,UNHATCH,23.9170713,-106.96,0,3,12/05/2009,17/05/2009,14/06/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/05/2009,NA,02/05/2009,09/07/2009,M,M,F,02/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
390,2009,C,6,U,U,627,NA,NA,CA029,CA1579,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|OX.OX,2009-C-6,2006,2006,2009-RX.MX|OX.OX,02/05/2009,09/07/2009,23/05/2009,03/07/2009,23/05/2009,03/07/2009,627,629,710,FLOOD,23.91644981,-106.96,0,3,27/06/2009,29/06/2009,10/07/2009,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/06/2009,NA,02/05/2009,09/07/2009,M,M,F,02/05/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
393,2009,C,101,ParCare,CFall,515,609,610,CA1499,CA1531,CA2230,NA,NA,NA,NA,NA,NA,M,F,MX.RX|GX.GX,2009-C-101,2008,2007,2009-MX.RX|GX.GX,06/01/2009,09/07/2009,23/05/2009,23/05/2009,23/05/2009,23/05/2009,515,515,609,HATCH,23.91351202,-106.96,3,3,15/05/2009,15/05/2009,09/06/2009,09/06/2009,612,615,617,0,5,NA,NA,612,617,615,615,12/06/2009,15/06/2009,17/06/2009,NA,NA,12/06/2009,17/06/2009,15/06/2009,15/06/2009,12/06/2009,NA,16.9,6.3,NA,NA,NA,NA,NA,NA,NA,NA,16.9,12/06/2009,-2.28802589,12/06/2009,20/05/2009,15/05/2009,5.28802589,06/01/2009,09/07/2009,M,M,F,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
394,2009,C,102,ParCare,CFall,530,624,614,CA1350,CA1382,CA2244,CA2245,CA2249,CA2250,NA,NA,NA,M,F,OX.MX|OX.BX,2009-C-102,2007,2007,2009-OX.MX|OX.BX,16/05/2009,22/05/2009,04/06/2009,04/06/2009,04/06/2009,04/06/2009,530,530,624,HATCH,23.91485567,-106.96,2,3,30/05/2009,30/05/2009,24/06/2009,24/06/2009,622,725,NA,1,13,NA,NA,622,725,725,NA,22/06/2009,25/07/2009,NA,NA,NA,22/06/2009,25/07/2009,25/07/2009,NA,21/06/2009,NA,18.1,6.3,21/06/2009,NA,18.5,6.7,22/06/2009,NA,17.8,6.9,18.5,21/06/2009,2.889967638,21/06/2009,24/05/2009,30/05/2009,-5.889967638,16/05/2009,25/07/2009,M,M,F,16/05/2009,22/05/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
395,2009,C,103,ParCare,CFall,606,701,630,CA1418,CA1570,CA2281,CA2307,NA,NA,NA,NA,NA,M,F,MX.YX|OX.OX,2009-C-103,2008,2007,2009-MX.YX|OX.OX,06/01/2009,19/09/2009,11/05/2009,15/06/2009,11/05/2009,15/06/2009,606,605,701,HATCH,23.91353796,-106.96,1,2,06/06/2009,05/06/2009,01/07/2009,01/07/2009,630,704,NA,0,5,NA,NA,630,704,703,704,30/06/2009,04/07/2009,NA,NA,NA,30/06/2009,04/07/2009,03/07/2009,04/07/2009,30/06/2009,NA,17.9,5.6,01/07/2009,NA,17.5,5.9,NA,NA,NA,NA,17.9,30/06/2009,0.948220065,30/06/2009,04/06/2009,06/06/2009,-1.948220065,06/01/2009,19/09/2009,M,M,F,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
396,2009,C,104,ParCare,CFall,525,619,619,CA1213,NA,CA2092,CA2093,CA2094,NA,NA,NA,NA,M,F,MX.OX|LX.YX,2009-C-104,2008,2007,2009-MX.OX|LX.YX,06/01/2009,19/09/2009,19/06/2009,19/06/2009,19/06/2009,19/06/2009,525,619,619,HATCH,23.91397778,-106.96,3,3,25/05/2009,19/06/2009,19/06/2009,19/06/2009,620,710,NA,0,14,NA,NA,620,710,710,NA,20/06/2009,10/07/2009,NA,NA,NA,20/06/2009,10/07/2009,10/07/2009,NA,19/06/2009,NA,18.2,6.8,19/06/2009,NA,18,7,19/06/2009,NA,17.5,6.7,18.2,19/06/2009,1.919093851,19/06/2009,23/05/2009,25/05/2009,-1.919093851,06/01/2009,19/09/2009,M,M,NA,08/03/2009,09/07/2009,Ceuta,NA,NA,NA,NA,NA,NA,NA
